benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/clam_goal1.smt2.th,0,0.0,5762.82,13.0,0,0.01,5361.25,13.0,0,0.01,6225.58,13.0,0,0.68,5445.8,45.0
benchmarks/clam_goal10.smt2.th,0,0.63,9869.46,13.0,0,1.0,12570.0,13.0,0,0.69,15589.76,13.0,0,2.52,12082.83,45.0
benchmarks/clam_goal11.smt2.th,0,0.63,9869.75,13.0,0,1.0,12571.41,13.0,0,0.69,15580.57,13.0,0,2.53,12069.74,45.0
benchmarks/clam_goal12.smt2.th,0,3.67,34218.8,13.0,0,3.59,36949.95,13.0,0,3.46,44081.6,13.0,0,18.62,54956.25,45.0
benchmarks/clam_goal13.smt2.th,0,0.16,7214.2,13.0,0,0.16,6506.55,13.0,0,0.18,8403.69,13.0,101,0.06,5953.72,0.0
benchmarks/clam_goal14.smt2.th,0,6.78,48579.9,168.36,0,23.35,58256.22,168.11,0,2.73,50921.86,167.69,101,34.89,7168.44,0.0
benchmarks/clam_goal15.smt2.th,0,0.0,5634.08,13.0,0,0.0,5232.87,13.0,0,0.0,5716.08,13.0,0,0.61,5401.57,45.0
benchmarks/clam_goal16.smt2.th,0,0.01,5875.21,13.0,0,0.02,5232.02,13.0,0,0.01,5532.67,13.0,101,0.05,5834.9,0.0
benchmarks/clam_goal17.smt2.th,0,0.63,9868.16,13.0,0,1.0,12591.38,13.0,0,0.69,15595.5,13.0,0,2.53,12092.64,45.0
benchmarks/clam_goal18.smt2.th,0,0.63,9854.95,13.0,0,1.0,12576.43,13.0,0,0.69,15588.46,13.0,0,2.52,12089.12,45.0
benchmarks/clam_goal19.smt2.th,0,0.63,9868.77,13.0,0,1.0,12563.11,13.0,0,0.69,15580.44,13.0,0,2.52,12082.42,45.0
benchmarks/clam_goal2.smt2.th,0,0.47,15267.77,13.0,0,0.71,32184.01,13.0,0,0.5,27616.29,13.0,0,4.4,31401.64,45.0
benchmarks/clam_goal20.smt2.th,0,0.49,15602.5,13.0,0,0.73,31532.77,13.0,0,0.51,28140.77,13.0,101,4.73,14736.38,0.0
benchmarks/clam_goal21.smt2.th,124,298.77,4999888.0,0.0,124,298.77,1223776.0,0.0,124,298.34,6369496.0,0.0,101,3.93,7586.15,0.0
