benchmark,cloning_code,cloning_secs,cloning_gb,cloning_branches,versioned_code,versioned_secs,versioned_gb,versioned_branches,persistent_code,persistent_secs,persistent_gb,persistent_branches,colored_code,colored_secs,colored_gb,colored_branches
benchmarks/clam_goal15.smt2.th,0,0.01,0.008941650390625,13.0,0,0.01,0.008514404296875,13.0,0,0.02,0.00927734375,13.0,0,0.95,0.009002685546875,45.0
benchmarks/isaplanner_goal63.smt2.th,0,0.02,0.009552001953125,19.0,0,0.03,0.008941650390625,19.0,0,0.03,0.0102691650390625,19.0,0,1.13,0.009368896484375,63.0
benchmarks/clam_goal58.smt2.th,0,1.0,0.01483154296875,13.0,0,1.52,0.0191650390625,13.0,0,1.05,0.022491455078125,13.0,0,3.32,0.01837158203125,45.0
benchmarks/clam_goal59.smt2.th,0,1.0,0.014862060546875,13.0,0,1.48,0.01910400390625,13.0,0,1.04,0.02227783203125,13.0,0,3.37,0.0186614990234375,45.0
benchmarks/clam_goal60.smt2.th,0,1.01,0.0147857666015625,13.0,0,1.47,0.0193634033203125,13.0,0,1.0,0.02227783203125,13.0,0,3.32,0.018280029296875,45.0
benchmarks/clam_goal79.smt2.th,0,0.98,0.01470947265625,13.0,0,1.52,0.0191497802734375,13.0,0,1.06,0.0224456787109375,13.0,0,3.28,0.0185546875,45.0
benchmarks/clam_goal80.smt2.th,0,1.0,0.0145721435546875,13.0,0,1.48,0.01934814453125,13.0,0,1.02,0.0225372314453125,13.0,0,3.31,0.01849365234375,45.0
benchmarks/sg_clam_goal-sg17.smt2.th,0,1.38,0.0158233642578125,13.0,0,1.45,0.0195159912109375,13.0,0,0.98,0.0228271484375,13.0,0,3.41,0.0177764892578125,45.0
benchmarks/sg_clam_goal-sg19.smt2.th,0,1.27,0.01580810546875,13.0,0,1.37,0.0199737548828125,13.0,0,1.06,0.0222015380859375,13.0,0,3.74,0.017913818359375,45.0
benchmarks/sg_clam_goal-sg10.smt2.th,0,0.97,0.015960693359375,13.0,0,1.46,0.0196075439453125,13.0,0,1.29,0.0225067138671875,13.0,0,3.7,0.017852783203125,45.0
benchmarks/sg_clam_goal-sg80.smt2.th,0,0.89,0.0157928466796875,13.0,0,1.13,0.01983642578125,13.0,0,0.79,0.022705078125,13.0,0,4.24,0.0168304443359375,45.0
benchmarks/sg_clam_goal-sg30.smt2.th,0,1.33,0.01788330078125,13.0,0,1.74,0.018890380859375,13.0,0,1.43,0.0230255126953125,13.0,0,4.81,0.0170440673828125,45.0
benchmarks/sg_clam_goal-sg1.smt2.th,0,0.02,0.009307861328125,13.0,0,0.03,0.0088653564453125,13.0,0,0.03,0.00982666015625,13.0,0,1.19,0.00897216796875,45.0
benchmarks/sg_clam_goal-sg79.smt2.th,0,1.28,0.015045166015625,13.0,0,1.93,0.01971435546875,13.0,0,1.36,0.0223236083984375,13.0,0,3.45,0.0174407958984375,45.0
benchmarks/sg_clam_goal-sg11.smt2.th,0,1.57,0.0162811279296875,13.0,0,1.91,0.0211029052734375,13.0,0,1.45,0.024627685546875,13.0,0,4.32,0.0196685791015625,45.0
benchmarks/isaplanner_goal75.smt2.th,0,1.19,0.0159149169921875,13.0,0,1.94,0.02142333984375,13.0,0,1.33,0.025115966796875,13.0,0,3.97,0.0202789306640625,45.0
benchmarks/sg_clam_goal-sg5.smt2.th,0,1.38,0.016143798828125,13.0,0,2.2,0.0211334228515625,13.0,0,1.53,0.024017333984375,13.0,0,4.4,0.0196075439453125,45.0
benchmarks/clam_goal50.smt2.th,0,3.25,0.0390777587890625,175.0,0,1.96,0.01922607421875,169.0,0,2.86,0.0540924072265625,169.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg6.smt2.th,0,1.64,0.017059326171875,13.0,0,2.2,0.0214996337890625,13.0,0,1.39,0.0241241455078125,13.0,0,4.82,0.01983642578125,45.0
benchmarks/clam_goal70.smt2.th,0,3.23,0.0423736572265625,191.0,0,1.78,0.0189971923828125,169.0,0,3.54,0.064178466796875,181.0,101,330.0,35.2,0.0
benchmarks/clam_goal71.smt2.th,0,3.22,0.03900146484375,169.0,0,2.25,0.0211944580078125,185.0,0,2.66,0.0517120361328125,161.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal53.smt2.th,0,2.94,0.0381011962890625,169.0,0,1.62,0.0185394287109375,161.0,0,2.83,0.057342529296875,169.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg18.smt2.th,0,1.84,0.01654052734375,13.0,0,2.05,0.0193939208984375,13.0,0,1.56,0.02362060546875,13.0,101,330.0,35.2,0.0
