benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/clam_goal15.smt2.th,0,.01,9376.00,13.00,0,.01,8928.00,13.00,0,.02,9728.00,13.00,0,.95,9440.00,45.00
benchmarks/isaplanner_goal63.smt2.th,0,.02,10016.00,19.00,0,.03,9376.00,19.00,0,.03,10768.00,19.00,0,1.13,9824.00,63.00
benchmarks/clam_goal58.smt2.th,0,1.00,15552.00,13.00,0,1.52,20096.00,13.00,0,1.05,23584.00,13.00,0,3.32,19264.00,45.00
benchmarks/clam_goal59.smt2.th,0,1.00,15584.00,13.00,0,1.48,20032.00,13.00,0,1.04,23360.00,13.00,0,3.37,19568.00,45.00
benchmarks/clam_goal60.smt2.th,0,1.01,15504.00,13.00,0,1.47,20304.00,13.00,0,1.00,23360.00,13.00,0,3.32,19168.00,45.00
benchmarks/clam_goal79.smt2.th,0,.98,15424.00,13.00,0,1.52,20080.00,13.00,0,1.06,23536.00,13.00,0,3.28,19456.00,45.00
benchmarks/clam_goal80.smt2.th,0,1.00,15280.00,13.00,0,1.48,20288.00,13.00,0,1.02,23632.00,13.00,0,3.31,19392.00,45.00
benchmarks/sg_clam_goal-sg17.smt2.th,0,1.38,16592.00,13.00,0,1.45,20464.00,13.00,0,.98,23936.00,13.00,0,3.41,18640.00,45.00
benchmarks/sg_clam_goal-sg19.smt2.th,0,1.27,16576.00,13.00,0,1.37,20944.00,13.00,0,1.06,23280.00,13.00,0,3.74,18784.00,45.00
benchmarks/sg_clam_goal-sg10.smt2.th,0,.97,16736.00,13.00,0,1.46,20560.00,13.00,0,1.29,23600.00,13.00,0,3.70,18720.00,45.00
benchmarks/sg_clam_goal-sg80.smt2.th,0,.89,16560.00,13.00,0,1.13,20800.00,13.00,0,.79,23808.00,13.00,0,4.24,17648.00,45.00
